// Adapted from:
// http://wiki.uqm.stack.nl/List_of_planets
// and
// http://wiki.uqm.stack.nl/script/images/9/9c/PlanetDatabase.zip
//
// Data compiled by Scott A. Colcord (Elestan on http://forum.uqm.stack.nl)
// and published 2011/06/29.
//
// The order of starsystems in this document
// appears to match that in plandata.c.
//
// 0, 	1,   2,3,4,      5,        6,       7,    8,     9,   10,    11,       12,     13,     14,       15,      16,      17,       18,  19,       20,     21,    22,     23,  24, 25,        26,        27
Cluster,Star,X,Y,DistSol,StarColor,StarSize,Fleet,Planet,Type,Hazard,Tectonics,Weather,Thermal,BioHazard,BioUnits,MinValue,MinVolume,Fuel,AxialTilt,Density,Radius,Gravity,Temp,Day,Atmosphere,LifeChance,DistFromStar
,,,,,,,,IV,Selenic,3,3,,,,,81,27,0.4,13,61,35,21,-245,210,,,4281
,,,,,,,,V,Gas Giant,8,2,8,,,,0,0,1.9,6,20,468,93,-247,126,65535,-1,4871
,,,,,,,,V-a,Noble,1,1,1,,,,173,44,0.2,-26,33,29,9,,152,0,-940,
,,,,,,,,V-b,Urea,7,7,3,,,,7,7,0.4,-8,60,32,19,,279,86,360,
,,,,,,,,V-c,,,,,,,10,62,62,,11,59,,18,,216,77,,
,,,,,,,,V-d,Ultramarine,4,3,,,,0,160,40,0.2,23,34,,10,,249,103,210,
,,,,,,,,VI,Gas Giant,8,,8,,,,0,0,2.8,-16,21,665,139,-249,143,65535,-1,5830
,,,,,,,,VI-a,Metal,3,,2,,,30,861,265,1.0,3,143,37,52,,233,81,360,
,,,,,,,,VI-b,Urea,7,7,,,,0,41,41,0.4,-29,61,31,18,,240,,,
,,,,,,,,VII,Gas Giant,8,1,8,,,,0,0,1.3,22,20,319,63,-251,96,65535,-1,7242
,,,,,,,,VII-a,Chondrite,6,6,1,,,,28,28,0.7,0,96,37,35,,244,0,-940,
,,,,,,,,VII-b,Purple,5,5,,,,,216,72,0.3,6,59,30,17,,283,,,
,,,,,,,,VII-c,Urea,7,7,2,,5,20,53,53,0.4,4,,35,20,,,79,360,
,,,,,,,,VII-d,Azure,4,4,1,,1,0,87,29,,-4,,36,21,,240,10,160,
,,,,,,,,VIII,Gas Giant,8,2,8,,,,0,0,3.0,-39,21,1113,233,-252,121,65535,-1,7808
Lipi,,550.0,,789.1,orange,,Kohr-Ah,I,Copper,5,,3,,5,60,279,93,0.7,20,144,25,36,-137,276,11,360,774
,,,,,,,,II,Magma,7,7,1,,1,0,207,69,2.9,-29,150,96,144,-187,285,0,-940,1918
,,,,,,,,II-a,Dust,4,4,2,,,,132,44,0.3,14,60,25,15,,299,13,160,
,,,,,,,,III,Cimmerian,,,1,,,,87,87,0.8,9,150,26,39,-196,231,0,-940,2345
,,,,,,,,IV,Gas Giant,8,3,8,,,,0,0,3.0,-22,20,876,175,-208,128,65535,-1,3289
,,,,,,,,IV-a,Copper,2,2,2,,,,147,49,0.9,-12,157,30,47,,203,15,260,
,,,,,,,,IV-b,Super-Dense,7,7,3,,,,186,62,1.1,13,206,27,55,,216,109,210,
,,,,,,,,IV-c,Copper,3,3,2,,,,501,167,0.8,-17,147,28,41,,231,15,260,
,,,,,,,,V,Radioactive,,,1,,,,896,112,1.3,34,192,35,67,-213,187,0,-940,3922
,,,,,,,,VI,Crimson,4,,3,,,,65,24,0.7,-20,101,36,36,-218,219,105,210,4597
,,,,,,,,VII,Noble,1,1,1,,,,182,50,0.2,22,32,25,8,-221,284,0,-940,5159
,,,,,,,,VIII,Gas Giant,8,2,8,,,,0,0,2.5,-1,20,631,126,-227,151,65535,-1,6494
,,,,,,,,VIII-a,Alkali,4,4,1,,,,189,63,0.6,5,98,33,32,,281,11,160,
,,,,,,,,IX,Gas Giant,8,3,8,,,,0,0,3.0,-3,20,1116,223,-230,153,65535,-1,7353
,,,,,,,,IX-a,Alkali,2,2,1,,,,162,54,0.6,,99,29,28,,183,14,160,
Apodis,Delta,253.6,850.4,709.7,green,,Thraddash,I,Halide,3,3,,,,,544,182,0.4,7,60,30,18,-156,216,0,-940,4083
,Alpha,258.2,850.7,710.5,yellow,super giant,,,Treasure,8,2,3,8,,,1680,280,1.5,2,199,37,73,3222,250,85,-140,1217
,,,,,,,,II,Ultramarine,9,,7,,,,487,113,0.2,13,34,27,9,3154,150,2846,-540,2258
,,,,,,,,III,Gas Giant,10,,8,,,,0,0,2.6,-19,20,652,130,2669,113,65535,-1,3717
,,,,,,,,III-a,Super-Dense,,7,7,,,,402,134,1.1,5,193,30,57,2653,237,3404,-540,
,,,,,,,,III-b,Carbide,8,3,3,,,,189,189,0.5,34,101,27,27,1794,279,77,-140,
,,,,,,,,III-c,,,,,,,,134,134,0.7,-12,104,35,36,1828,266,87,,
,,,,,,,,IV,,,4,,,,,130,130,,-32,102,36,,1528,226,109,-290,5149
,,,,,,,,V,Chondrite,10,8,1,,,,125,125,0.6,-17,98,32,31,1155,222,0,-1440,6253
,,,,,,,,VI,Selenic,8,3,2,,,,297,99,0.4,13,61,33,20,1300,244,94,-140,7558
Aquarii,Zeta,862.5,856.2,989.0,orange,dwarf,Utwig,I,Vinylogous,4,4,1,1,,,67,35,1.7,2,99,84,83,-220,237,0,-940,4859
,,,,,,,,II,Radioactive,1,1,,,,,1008,126,1.3,-16,203,33,66,-228,172,,,6954
Fomalhaut,Prime,437.5,,758.0,red,,None,I,Ruby,2,2,,,,,3575,143,1.0,0,59,83,48,,192,,,1709
,,,,,,,,II,Purple,4,4,,,,,126,42,0.3,-27,,26,15,-236,277,,,2574
,,,,,,,,III,Urea,8,8,3,,,,60,60,0.4,37,,32,18,-243,182,85,360,3838
,,,,,,,,IV,Super-Dense,7,6,,,6,27,102,34,1.1,1,197,28,55,-246,162,82,,4633
,,,,,,,,V,Gas Giant,8,2,8,,1,0,0,0,3.0,10,21,921,193,-252,86,65535,-1,7420
,,,,,,,,V-a,Crimson,2,1,2,,2,120,160,59,0.5,28,97,26,25,,245,86,360,
,,,,,,,,V-b,Urea,7,7,,,5,44,23,23,0.4,-16,63,29,18,,165,94,,
,,,,,,,,V-c,Chondrite,,,1,,1,0,31,31,0.5,-14,96,27,25,,160,0,-940,
,,,,,,,,V-d,Dust,2,2,,,,,81,27,0.3,-8,63,,17,,199,11,160,
Apodis,Beta,259.3,856.9,716.8,,,Thraddash,I,,4,3,3,,,,120,40,0.4,-1,62,33,20,-199,286,,,637
,,,,,,,,II,Ruby,2,2,1,,,,2400,96,0.9,-18,58,82,47,-226,219,0,-940,1567
,,,,,,,,III,Maroon,3,3,2,,,,350,170,1.2,-1,63,97,61,-238,193,13,160,2794
,,,,,,,,IV,Selenic,2,2,1,,,,66,22,0.3,-17,58,31,17,-241,245,0,-940,3415
,,,,,,,,V,Magnetic,5,5,,,,,349,109,2.5,-8,154,81,124,-244,271,,,4150
,,,,,,,,VI,Gas Giant,8,2,8,,,,0,0,2.1,-9,21,503,105,-247,138,65535,-1,4892
,,,,,,,,VI-a,Urea,6,6,3,,,,24,24,0.4,-13,62,35,21,,29332,81,360,
,,,,,,,,VI-b,Metal,5,3,,,4,12,1270,331,1.1,11,144,37,53,,284,75,,
,,,,,,,,VI-c,Chondrite,6,6,1,,1,0,0,0,0.6,13,102,30,30,,243,0,-940,
,,,,,,,,VI-d,,7,7,,,,,46,46,0.5,20,103,26,26,,176,,,
,,,,,,,,VII,Gas Giant,8,2,8,,,,0,0,3.0,,20,1261,252,-249,101,65535,-1,6038
,,,,,,,,VII-a,Dust,2,,1,,,,138,46,0.4,1,60,31,18,,186,15,260,
,,,,,,,,VIII,Maroon,,,,,,,220,100,0.9,-3,58,81,46,-251,254,14,160,6851
,,,,,,,,IX,Gas Giant,8,,8,,,,0,0,1.7,2,21,396,83,-252,150,65535,-1,7822
,,,,,,,,IX-a,Urea,7,7,2,,,14,28,28,0.4,-19,60,33,19,,298,89,360,
,,,,,,,,IX-b,Ultramarine,6,3,,,6,49,281,67,0.2,6,33,30,9,,283,109,210,
,,,,,,,,IX-c,Urea,,6,,,1,0,0,0,0.4,-18,63,31,19,,218,100,,
,Gamma,256.2,857.2,716.7,orange,,,I,,,,4,,2,38,42,42,0.3,-15,,25,15,-149,220,91,560,921
,,,,,,,,II,Gas Giant,8,1,8,,1,0,0,0,3.0,38,21,1112,233,-174,135,65535,-1,1433
,,,,,,,,II-a,Carbide,3,3,1,,,,70,70,0.8,-4,105,37,38,,180,0,-940,
,,,,,,,,II-b,Alkali,,,2,,,,168,56,0.6,0,101,29,29,,267,10,160,
,,,,,,,,III,Urea,5,5,3,,,,54,54,0.3,-19,60,26,15,-195,13988,109,210,2292
,,,,,,,,IV,Gas Giant,8,2,8,,,,0,0,3.0,-22,20,1174,234,-211,123,65535,-1,3589
,,,,,,,,IV-a,Azure,6,6,2,,,,63,21,0.4,13,60,30,18,,29340,14,160,
,,,,,,,,IV-b,Super-Dense,7,7,3,,,,0,0,1.2,-8,193,32,61,,216,81,360,
,,,,,,,,IV-c,Selenic,2,2,1,,,,189,63,0.3,2,63,26,16,,238,0,-940,
,,,,,,,,V,Azure,3,3,2,,,,111,37,,6,59,,15,-216,175,14,160,4306
,,,,,,,,VI,Gas Giant,8,2,8,,,,0,0,3.0,-3,20,811,162,-221,92,65535,-1,5239
,,,,,,,,VI-a,Halide,3,3,1,,,,630,180,0.4,-19,60,33,19,,298,0,-940,
,,,,,,,,VI-b,Chondrite,5,5,,,,,57,57,0.5,2,99,27,26,,255,,,
,,,,,,,,VI-c,Copper,2,1,2,,,,501,167,0.7,-18,149,25,37,,253,10,160,
,,,,,,,,VII,Gas Giant,8,,8,,,,0,0,3.0,-13,21,1205,253,-225,105,65535,-1,6004
,,,,,,,,VIII,,,2,,,,,,,,21,,820,172,-229,118,,,7052
,,,,,,,,VIII-a,Crimson,2,,2,,,,265,95,0.5,-19,100,25,25,,276,99,360,
,,,,,,,,VIII-b,Copper,3,3,1,,,,561,187,1.0,19,157,33,51,,26678,15,260,
,,,,,,,,IX,Gas Giant,8,,8,,,,0,0,3.0,-8,20,910,182,-231,105,65535,-1,7929
,,,,,,,,IX-a,Cimmerian,3,,1,,,,104,104,0.9,-12,151,30,45,,20535,0,-940,
,,,,,,,,IX-b,Alkali,4,4,,,,43,246,82,0.6,-17,101,,30,,266,13,160,
Aquarii,Eta,849.2,857.8,980.9,white,,Utwig,I,Quasi-Degenerate,5,5,,4,,0,200,8,0.9,11,145,33,47,176,240,0,-740,639
,,,,,,,,II,Vinylogous,2,2,,2,,,108,36,1.8,3,102,87,88,90,157,,-590,964
,,,,,,,,III,Auric,3,3,2,1,,48,1398,233,1.1,28,153,35,53,-61,244,13,360,2841
,,,,,,,,IV,Yttric,7,4,,,7,103,150,50,1.0,-17,145,34,49,-84,264,15,460,3551
,,,,,,,,V,Ultraviolet,5,5,,,1,0,834,193,2.2,-18,144,77,110,-123,168,92,560,5666
,,,,,,,,VI,Gas Giant,8,3,8,,,,0,0,3.0,-2,20,793,158,-140,92,65535,-1,7169
,,,,,,,,VI-a,Urea,5,5,2,,,,27,27,0.4,0,58,32,18,,214,89,560,
,,,,,,,,VI-b,Selenic,1,1,1,,,,105,35,0.3,6,60,27,16,,205,0,-740,
,,,,,,,,VII,Radioactive,2,2,,,,,704,88,1.2,-31,203,31,62,-146,156,,,7828
Muscae,Zeta,112.5,858.3,716.0,orange,,None,I,Hydrocarbon,3,3,,,,,91,57,2.0,19,99,102,100,-161,207,,-940,1128
,,,,,,,,II,Copper,2,2,2,,,,549,183,0.9,30,152,29,44,-197,266,14,160,2389
,,,,,,,,III,Urea,6,6,3,,,,18,18,0.4,16,60,30,18,-206,165,90,360,3093
,,,,,,,,IV,Copper,2,1,2,,,7,369,123,1.1,-34,157,35,54,-217,192,15,260,4448
,,,,,,,,V,Gas Giant,8,2,8,,,0,0,0,3.0,,21,1369,287,-220,122,65535,-1,4985
,,,,,,,,VI,,,1,,,,,,,,15,,1428,299,-227,148,,,6445
,,,,,,,,VI-a,Carbide,5,5,1,,,,135,135,0.7,-22,104,36,37,,47757,0,-940,
,,,,,,,,VII,Vinylogous,4,4,,,,,96,34,2.0,6,105,97,101,-230,298,,,7380
Leporis,Alpha,807.3,858.8,953.4,,,Utwig,I,Iodine,,,2,,,,108,48,1.0,-9,58,91,52,-170,205,15,260,1327
,,,,,,,,II,Gas Giant,8,3,8,,,,0,0,2.7,2,21,635,133,-197,89,65535,-1,2455
,,,,,,,,II-a,Crimson,3,2,3,,,,133,48,0.6,5,97,30,29,,250,101,210,
,,,,,,,,II-b,Radioactive,,3,1,,,,696,87,1.4,-16,200,35,70,,183,0,-940,
,,,,,,,,II-c,Halide,2,2,,,,,106,53,0.4,-9,63,36,22,,177,,,
,,,,,,,,III,Magnetic,7,7,,,,,219,73,3.0,26,157,101,158,-207,187,,,3181
,,,,,,,,IV,Purple,3,3,,,,,66,22,0.3,3,62,28,17,-218,293,,,4623
,,,,,,,,V,Maroon,2,2,2,,,,346,156,1.2,-31,61,101,61,-222,183,12,160,5300
Aquarii,,856.0,863.8,990.0,green,,,I,Primordial,9,8,3,,7,107,56,26,1.9,-10,101,95,95,-113,273,90,560,2199
,Epsilon,875.0,864.5,1003.6,blue,,,,Azure,7,5,6,7,1,0,138,46,0.4,6,60,36,21,671,44579,268,-290,500
,,,,,,,,II,Opalescent,3,3,1,1,,,94,28,0.3,9,59,27,15,-73,251,0,-740,2197
,,,,,,,,III,Carbide,4,4,,,,,63,63,0.6,0,102,31,31,-121,275,,,3821
,,,,,,,,IV,Gas Giant,8,3,8,,,,0,0,1.6,21,20,395,79,-139,97,65535,-1,4947
,,,,,,,,IV-a,Quasi-Degenerate,5,5,1,,,,,,0.8,-20,145,28,40,,187,0,-740,
,,,,,,,,IV-b,Ultramarine,3,2,3,,,,413,108,0.2,5,32,31,9,,216,78,560,
,,,,,,,,V,Water,,3,1,,,,236,62,2.1,6,100,106,106,-149,287,13,360,5733
Lipi,Alpha,556.2,,814.1,green,,Kohr-Ah,I,Iodine,6,5,6,3,,,113,49,0.9,-17,59,77,45,135,162,293,560,459
,,,,,,,,II,Gas Giant,8,2,8,1,,,0,0,3.0,-3,21,793,166,-72,100,65535,-1,1402
,,,,,,,,II-a,Radioactive,2,,1,,,,752,94,1.4,3,196,37,72,,233,0,-740,
,,,,,,,,II-b,Quasi-Degenerate,5,5,,,,,325,13,1.1,-2,156,35,54,,186,,,
,,,,,,,,II-c,Copper,3,3,2,,,,108,36,,23,155,37,57,,211,15,460,
,,,,,,,,II-d,Carbide,4,4,1,,,,117,117,0.7,15,103,36,37,,182,0,-740,
,,,,,,,,III,Gas Giant,8,2,8,,,,0,0,3.0,-30,21,831,174,-119,92,65535,-1,2370
,,,,,,,,III-a,Chondrite,6,6,1,,,,62,62,0.7,23,105,35,36,,242,0,-740,
,,,,,,,,III-b,Urea,,,3,,,,73,73,0.3,8,62,25,15,,260,80,560,
,,,,,,,,III-c,Green,5,4,,,5,18,280,56,0.7,-18,105,32,33,,284,83,,
,,,,,,,,IV,Hydrocarbon,3,3,1,,1,0,129,129,2.2,-42,98,111,108,-153,230,0,-940,3887
,,,,,,,,IV-a,Acid,4,4,,,,,181,181,0.6,20,103,31,31,,43430,,,
,,,,,,,,V,Carbide,,,,,,,97,97,,-6,104,28,29,-162,219,,,4563
,,,,,,,,VI,Gas Giant,8,1,8,,,,0,0,3.0,12,20,857,171,-170,129,65535,-1,5324
,,,,,,,,VI-a,Opalescent,5,5,1,,,,291,91,0.3,39,61,29,17,,172,0,-940,
,,,,,,,,VI-b,Quasi-Degenerate,4,4,,,,,600,24,1.0,-14,146,35,51,,231,,,
,,,,,,,,VII,Copper,2,2,,,,,0,0,0.8,6,147,26,38,-178,283,15,260,6231
,,,,,,,,VIII,,1,1,,,,38,162,54,0.9,25,148,31,45,-189,266,13,160,7931
Draconis,Xi,258.8,865.3,725.1,red,,Thraddash,I,Hydrocarbon,3,3,,,,0,58,30,2.2,-32,99,112,110,-228,263,0,-940,1748
,,,,,,,,II,Gas Giant,8,,8,,,,0,0,,-23,20,541,108,-238,83,65535,-1,2899
,,,,,,,,II-a,Noble,2,2,1,,,,255,75,0.2,-31,33,29,9,,201,0,-940,
,,,,,,,,II-b,Infrared,4,4,3,,,,180,60,0.6,23,101,32,32,,249,103,210,
,Kappa,245.8,866.6,725.0,white,,,I,Urea,10,5,8,8,,,23,23,0.3,-17,59,28,16,1163,276,2537,-540,551
,,,,,,,,II,Sapphire,1,1,1,1,,,1450,58,0.9,-16,62,75,46,-19,269,0,,1982
,,,,,,,,III,Gas Giant,8,3,8,,,,0,0,3.0,35,21,1212,254,-86,137,65535,-1,3636
,,,,,,,,III-a,Quasi-Degenerate,3,,1,,,,,,1.1,25,154,36,55,,16676,0,-740,
,,,,,,,,III-b,Selenic,2,2,,,,,138,46,0.4,-29,59,33,19,,203,,,
,,,,,,,,III-c,Opalescent,3,3,,,,,224,88,,5,61,30,18,,241,,,
,,,,,,,,IV,Metal,4,,3,,,,1411,357,1.1,2,149,37,55,-118,185,93,560,5277
,,,,,,,,V,Primordial,8,8,2,,2,16,537,325,2.1,28,101,104,105,-134,184,99,,6574
Leporis,Beta,766.6,,932.9,orange,,None,I,Rainbow,3,2,3,,1,8,1659,357,0.9,-30,58,82,47,-13,18274,13,,256
,,,,,,,,II,Super-Dense,6,6,,,,0,78,26,1.4,-23,208,34,70,-174,219,89,360,1433
,,,,,,,,III,Gas Giant,8,3,8,,,,0,0,3.0,30,20,1108,221,-192,112,65535,-1,2150
,,,,,,,,III-a,Crimson,3,2,3,,,,187,72,0.5,27,98,26,25,,266,95,360,
,,,,,,,,IV,Gas Giant,8,1,8,,,,0,0,2.6,-7,20,652,130,-208,134,65535,-1,3316
,,,,,,,,IV-a,Super-Dense,5,5,3,,,,147,49,1.0,-4,196,27,52,,56237,87,360,
,,,,,,,,IV-b,Cimmerian,4,4,1,,,,118,118,,22,146,36,,,279,0,-940,
,,,,,,,,V,Super-Dense,7,7,3,,,,261,87,1.4,-1,202,34,68,-214,213,80,360,3974
,,,,,,,,VI,Acid,3,3,1,,,,131,131,0.7,-15,100,37,37,-221,34844,0,-940,5076
,,,,,,,,VII,Maroon,,,2,,,,127,83,0.9,-5,59,78,46,-223,279,12,160,5588
,,,,,,,,VII-a,Copper,,,,,,43,135,45,,-17,148,30,44,,266,13,,
,,,,,,,,VIII,Ultramarine,5,2,,,5,104,241,61,0.2,20,34,35,11,-231,163,88,360,7733
Draconis,Zeta,277.6,867.3,729.5,,,Thraddash,I,Primordial,7,7,4,,,39,206,142,2.0,10,105,97,101,-66,205,80,560,332
,,,,,,,,II,Gas Giant,8,2,8,,1,0,0,0,2.5,-18,20,618,123,-166,143,65535,-1,1234
,,,,,,,,II-a,Dust,3,3,2,,,,102,34,0.3,-5,61,29,17,,242,13,160,
,,,,,,,,II-b,Purple,4,4,1,,,,114,38,0.4,-29,59,33,19,,203,0,-940,
,,,,,,,,II-c,Urea,7,7,3,,,,24,24,0.3,0,60,25,15,,211,97,360,
,,,,,,,,III,Carbide,4,4,1,,,,148,148,0.6,-2,99,33,32,-197,232,0,-940,2438
,,,,,,,,IV,Alkali,5,5,2,,5,30,174,58,0.7,-19,103,,33,-213,281,14,160,3816
,,,,,,,,V,Gas Giant,8,2,8,,1,0,0,0,3.0,19,21,774,162,-217,126,65535,-1,4463
,,,,,,,,V-a,Purple,2,,1,,,,45,15,0.4,2,63,29,18,,264,0,-940,
,,,,,,,,V-b,Pellucid,,,,,,,0,0,,17,61,31,,,222,,,
,,,,,,,,VI,Urea,6,6,2,,,,46,46,,-14,58,37,21,-226,285,108,210,6347
,,,,,,,,VII,Gas Giant,8,2,8,,,,0,0,2.7,25,20,685,137,-230,109,65535,-1,7323
,,,,,,,,VII-a,Crimson,3,3,2,,,,157,54,0.8,-13,103,37,38,,169,101,210,
,,,,,,,,VII-b,Alkali,4,4,1,,,,243,81,0.6,-4,105,28,29,,230,10,160,
,,,,,,,,VIII,Gas Giant,8,2,8,,,,0,0,3.0,-10,21,927,194,-231,115,65535,-1,7771
,,,,,,,,VIII-a,Selenic,3,3,1,,,,192,64,0.4,5,62,30,18,,237,0,-940,
,,,,,,,,VIII-b,Dust,,,,,,,84,28,0.3,-4,59,26,15,,163,10,160,
Aquarii,Beta,863.0,869.3,998.8,green,,Utwig,I,Water,5,4,4,,5,39,159,43,2.2,3,105,107,112,35,169,100,810,890
,,,,,,,,I-a,Carbide,,5,3,,1,48,82,82,0.7,7,100,37,37,7,240,11,760,
,,,,,,,,II,Water,3,3,2,,2,15,93,31,2.0,4,98,105,102,-117,282,12,360,2341
,,,,,,,,III,Primordial,8,8,3,,1,0,269,155,1.9,36,96,100,96,-137,287,95,560,3068
,,,,,,,,IV,Azure,5,5,2,,,,96,32,0.4,-9,63,29,18,-152,218,15,260,3819
,,,,,,,,V,Gas Giant,8,2,8,,,,0,0,1.8,-29,20,447,89,-162,159,65535,-1,4606
,,,,,,,,V-a,Acid,4,4,1,,,,293,293,0.5,5,102,26,26,,245,0,-940,
,,,,,,,,V-b,Copper,3,3,2,,,,0,0,0.9,29,155,29,44,,260,11,160,
,,,,,,,,V-c,Treasure,,,1,,,,1554,259,1.2,10,203,,58,,180,0,-940,
,,,,,,,,VI,Gas Giant,8,2,8,,,,0,0,3.0,-16,21,1481,311,-173,154,65535,-1,5600
,,,,,,,,VI-a,Copper,2,1,2,,,,312,104,0.9,-3,156,29,45,,183,14,160,
,,,,,,,,VI-b,Pellucid,,2,1,,,,0,0,0.4,-8,59,33,19,,194,0,-940,
,,,,,,,,VI-c,Carbide,4,4,,,,,110,110,0.5,11,102,25,25,,153,,,
,,,,,,,,VI-d,Treasure,3,3,,,,,948,158,1.4,-1,199,36,71,,291,,,
,,,,,,,,VII,Gas Giant,8,,8,,,,0,0,3.0,16,20,952,190,-177,121,65535,-1,6096
,,,,,,,,VII-a,Opalescent,3,,1,,,,230,82,0.4,23,59,35,20,,242,0,-940,
,,,,,,,,VII-b,,,,,,,,307,97,0.3,-20,,26,15,,157,,,
,,,,,,,,VII-c,Lanthanide,5,5,,,,,560,112,1.0,5,147,34,49,,289,,,
,,,,,,,,VII-d,Opalescent,4,4,,,,,149,59,0.4,33,61,33,20,,298,,,
,,,,,,,,VIII,Treasure,3,3,,,,,870,145,1.3,-9,198,,65,-184,272,,,7078
Draconis,Mu,231.0,870.2,727.3,red,,Thraddash,I,Chondrite,6,6,,,,,46,46,0.5,-10,97,28,27,-242,276,,,3635
,,,,,,,,II,Gas Giant,8,1,8,,,,0,0,2.1,17,20,528,105,-248,144,65535,-1,5456
,,,,,,,,II-a,Crimson,3,,3,,,,180,64,0.6,1,104,31,32,,186,100,210,
,,,,,,,,II-b,Purple,5,5,1,,,,228,76,0.4,-10,59,35,20,,232,0,-940,
,,,,,,,,III,Pellucid,3,3,,,,,100,4,0.3,-36,58,31,17,-250,57151,,,6231
,,,,,,,,IV,Maroon,2,2,,,,,247,117,1.2,-2,62,99,61,-251,189,14,160,6867
Ophiuchi,Alpha,043.7,877.0,743.7,,,None,I,Urea,6,6,3,,,,0,0,0.4,-6,60,32,19,-218,235,101,210,1177
,,,,,,,,II,Water,2,2,2,,,,201,52,1.8,-27,97,95,92,-237,193,11,160,2669
,,,,,,,,II-a,Azure,6,6,,,,50,93,31,0.4,-9,58,35,20,,290,14,,
,,,,,,,,III,Gas Giant,8,2,8,,,0,0,0,3.0,44,20,1114,222,-244,127,65535,-1,4185
,,,,,,,,III-a,Infrared,4,3,3,,,,138,46,0.7,-22,96,36,34,,229,75,360,
,,,,,,,,III-b,Chondrite,5,5,1,,,,36,36,,0,105,35,36,,204,0,-940,
,,,,,,,,IV,Selenic,1,1,,,,,27,9,0.4,-19,62,33,20,-252,235,,,7762
Aquarii,Gamma,853.4,879.7,999.8,orange,,Utwig,I,Rainbow,3,,3,,,,1112,244,1.1,37,60,94,56,-13,163,10,560,256
,,,,,,,,II,Chlorine,7,7,1,,,,132,86,1.9,-23,96,102,97,-173,54855,0,-940,1426
,,,,,,,,III,Radioactive,3,3,,,,,816,102,1.1,-6,198,27,53,-206,185,,,3078
,,,,,,,,IV,Urea,6,6,3,,,,42,42,0.4,8,59,35,20,-212,176,76,360,3770
,,,,,,,,V,Infrared,3,2,,,2,68,165,55,0.5,10,96,29,27,-219,213,95,,4743
,,,,,,,,VI,Gas Giant,8,,8,,1,0,0,0,2.2,-23,21,524,110,-227,122,65535,-1,6444
,,,,,,,,VI-a,Infrared,3,3,2,,,,96,32,0.7,-13,98,35,34,,29332,81,360,
,,,,,,,,VI-b,Ultramarine,2,1,,,,,168,42,0.2,-4,34,34,11,,224,79,,
,,,,,,,,VI-c,Green,6,6,,,,,150,30,0.5,11,102,25,25,,153,90,,
,,,,,,,,VI-d,Carbide,3,3,1,,,,28,28,0.7,-12,104,35,36,,266,0,-940,
,,,,,,,,VII,Ultramarine,2,2,2,,,,313,73,0.2,-4,33,25,8,-229,51262,104,210,7116
,Delta,858.8,881.2,1004.6,blue,,,I,Noble,,,1,,,,194,56,,22,34,27,9,-112,172,0,-740,3416
,,,,,,,,II,Oolite,3,,3,,,,813,154,0.9,-5,155,29,44,-123,297,100,410,3925
,,,,,,,,III,Azure,,3,1,,,,168,56,0.4,14,63,32,20,-156,243,11,160,6399
Leporis,Gamma,718.7,,915.0,,,None,I,Yttric,4,,3,2,,,855,219,0.9,4,145,,46,66,242,105,560,1069
,,,,,,,,II,Lanthanide,6,6,1,1,,,850,170,0.8,14,154,26,40,-45,217,0,-540,1709
,,,,,,,,III,Acid,4,4,,,,,196,196,0.6,-30,102,28,28,-86,211,,-740,2527
,,,,,,,,IV,Plutonic,,3,3,,,,340,75,2.4,4,144,84,120,-107,192,98,560,3192
,,,,,,,,V,Acid,3,,1,,,,215,215,0.7,-18,101,33,33,-121,225,0,-740,3835
,,,,,,,,VI,Copper,,,2,,,,162,54,0.9,19,143,,47,-140,161,13,360,4973
,,,,,,,,VII,Xenolithic,5,5,1,,,,165,46,1.9,31,103,93,95,-151,191,,,5884
,,,,,,,,VIII,Green,,,2,,,,240,48,0.6,35,98,33,32,-164,184,78,,7442
Lipi,,547.5,882.3,825.9,orange,,Kohr-Ah,I,Vinylogous,3,3,1,,,,126,44,1.6,-8,105,76,79,-201,257,0,-940,2713
,,,,,,,,I-a,Cimmerian,4,4,,,,,81,81,1.1,-10,155,35,54,,230,,,
,,,,,,,,II,Gas Giant,8,3,8,,,,0,0,1.5,-32,20,367,73,-207,139,65535,-1,3237
,,,,,,,,II-a,Copper,3,,2,,,,540,180,1.0,8,143,35,50,,178,11,160,
,,,,,,,,II-b,Super-Dense,6,6,3,,,,207,69,1.1,-24,193,29,55,,288,99,360,
,,,,,,,,II-c,,7,7,,,,,0,0,1.4,22,199,35,69,,212,109,210,
Antliae,Delta,305.0,883.3,749.6,blue,,Thraddash,I,Acid,3,2,,2,2,33,304,304,0.7,-18,103,,36,84,295,15,610,797
,,,,,,,,II,Water,4,4,2,1,1,10,168,56,1.7,15,,82,84,-46,,12,560,1726
,,,,,,,,III,Gas Giant,8,3,8,,,0,0,0,2.7,7,21,655,137,-139,96,65535,-1,4870
,,,,,,,,III-a,Urea,5,5,3,,,,31,31,0.4,8,63,30,18,,250,90,560,
,,,,,,,,III-b,,7,7,,,,,80,80,0.3,-23,59,25,14,,217,80,,
,,,,,,,,III-c,Noble,3,3,1,,,,284,71,0.2,8,32,28,8,,56921,0,-740,
,,,,,,,,IV,Auric,1,1,,,,,1182,197,0.8,2,149,,41,-155,220,11,160,6326
,Gamma,283.1,885.4,748.2,green,,,I,Organic,4,4,,,,,114,114,2.1,1,102,101,103,-158,237,0,-940,4228
,,,,,,,,II,Emerald,3,3,,,,,2650,106,0.9,9,59,79,46,-168,21217,,,5101
